codloc,nombre,departamento
4829,TRES ISLAS,CERRO LARGO
4830,POBLADO URUGUAY,CERRO LARGO
4923,ARBOLITO,CERRO LARGO
4924,AREVALO,CERRO LARGO
4930,CASERIO LAS CAÑAS,CERRO LARGO
4940,ESPERANZA,CERRO LARGO
4943,GETULIO VARGAS,CERRO LARGO
4948,LA PEDRERA,CERRO LARGO
4952,MANGRULLO,CERRO LARGO
4956,NANDO,CERRO LARGO
4966,QUEBRACHO,CERRO LARGO
4968,RAMON TRIGO,CERRO LARGO
4981,SOTO GORO,CERRO LARGO
4983,BARRIO LOPEZ BENITEZ,CERRO LARGO
4987,BARRIO LA VINCHUCA,CERRO LARGO
4988,ARACHANIA,CERRO LARGO
4989,ÑANGAPIRE,CERRO LARGO
5320,COLONIA DEL SACRAMENTO,COLONIA
5321,CARMELO,COLONIA
5323,JUAN LACAZE,COLONIA
5421,NUEVA HELVECIA,COLONIA
5422,ROSARIO,COLONIA
5423,NUEVA PALMIRA,COLONIA
5452,PASO ANTOLIN,COLONIA
5521,OMBUES DE LAVALLE,COLONIA
5522,TARARIRAS,COLONIA
5621,COLONIA VALDENSE,COLONIA
5622,FLORENCIO SANCHEZ,COLONIA
5721,CONCHILLAS,COLONIA
5722,CASERIO EL CERRO,COLONIA
5724,LA PAZ,COLONIA
5726,RIACHUELO,COLONIA
5727,JUAN CARLOS CASEROS,COLONIA
5798,AGRACIADA,COLONIA
5821,BOCA DEL ROSARIO,COLONIA
5824,CUFRE,COLONIA
5826,EL SEMILLERO,COLONIA
5827,ESTACION ESTANZUELA,COLONIA
5829,CERROS DE SAN JUAN,COLONIA
5831,MIGUELETE,COLONIA
5923,CAMPANA,COLONIA
5924,ARTILLEROS,COLONIA
5925,BARKER,COLONIA
5927,EL ENSUEÑO,COLONIA
5931,BLANCA ARENA,COLONIA
5932,BRISAS DEL PLATA,COLONIA
5938,COLONIA COSMOPOLITA,COLONIA
5940,PARAJE MINUANO,COLONIA
5951,LOS PINOS,COLONIA
5955,CHICO TORINO,COLONIA
5956,LA HORQUETA,COLONIA
5959,PLAYA AZUL,COLONIA
5960,PLAYA BRITOPOLIS,COLONIA
5961,PLAYA PARANT,COLONIA
5962,PLAYA FOMENTO,COLONIA
5964,PUERTO INGLES,COLONIA
5969,RADIAL HERNANDEZ,COLONIA
5977,SAN PEDRO,COLONIA
5979,SANTA ANA,COLONIA
5980,SANTA REGINA,COLONIA
5987,ZAGARZAZU,COLONIA
5989,ARRIVILLAGA,COLONIA
5993,EL FARO,COLONIA
5994,LAGUNA DE LOS PATOS,COLONIA
5996,JUAN JACKSON,COLONIA
5997,PUEBLO GIL,COLONIA
5998,CERRO CARMELO,COLONIA
5999,EL QUINTON,COLONIA
6220,DURAZNO,DURAZNO
6421,SARANDI DEL YI,DURAZNO
6521,CARMEN,DURAZNO
6621,BLANQUILLO,DURAZNO
6622,LA PALOMA,DURAZNO
6721,CARLOS REYLES,DURAZNO
6722,CENTENARIO,DURAZNO
6790,CERRO CHATO,DURAZNO
6821,BAYGORRIA,DURAZNO
6922,AGUAS BUENAS,DURAZNO
6924,PUEBLO DE ALVAREZ,DURAZNO
6940,FELICIANO,DURAZNO
6951,OMBUES DE ORIBE,DURAZNO
6960,ROSSELL Y RIUS,DURAZNO
6964,SAN JORGE,DURAZNO
6972,LAS PALMAS,DURAZNO
7320,TRINIDAD,FLORES
7721,ISMAEL CORTINAS,FLORES
7921,ANDRESITO,FLORES
7925,JUAN JOSE CASTRO,FLORES
7937,LA CASILLA,FLORES
7938,CERRO COLORADO,FLORES
8220,FLORIDA,FLORIDA
8421,SARANDI GRANDE,FLORIDA
8521,CASUPA,FLORIDA
8621,CARDAL,FLORIDA
8622,FRAY MARCOS,FLORIDA
8623,25 DE AGOSTO,FLORIDA
8624,25 DE MAYO,FLORIDA
8721,ALEJANDRO GALLINAL,FLORIDA
8722,CAPILLA DEL SAUCE,FLORIDA
8723,LA CRUZ,FLORIDA
8724,NICO PEREZ,FLORIDA
8790,CERRO CHATO,FLORIDA
8821,CHAMIZO,FLORIDA
8822,GOÑI,FLORIDA
8823,MENDOZA,FLORIDA
8824,MENDOZA CHICO,FLORIDA
8825,REBOLEDO,FLORIDA
8896,VALENTINES,FLORIDA
8923,BERRONDO,FLORIDA
8930,PUEBLO FERRER,FLORIDA
8933,INDEPENDENCIA,FLORIDA
8938,MONTECORAL,FLORIDA
8940,PINTADO,FLORIDA
8941,POLANCO DEL YI,FLORIDA
8944,PUNTAS DE MACIEL,FLORIDA
8992,CASERIO LA FUNDACION,FLORIDA
8993,LA MACANA,FLORIDA
8994,ESTACION CAPILLA DEL SAUCE,FLORIDA
8995,SAN GABRIEL,FLORIDA
9220,MINAS,LAVALLEJA
9521,JOSE BATLLE Y ORDOÑEZ,LAVALLEJA
9522,JOSE PEDRO VARELA,LAVALLEJA
9621,MARISCALA,LAVALLEJA
9622,SOLIS DE MATAOJO,LAVALLEJA
9721,PIRARAJA,LAVALLEJA
9722,ZAPICAN,LAVALLEJA
9821,COLON,LAVALLEJA
9823,ARAMENDIA,LAVALLEJA
9924,BLANES VIALE,LAVALLEJA
9928,19 DE JUNIO,LAVALLEJA
9931,ESTACION SOLIS,LAVALLEJA
9932,GAETAN,LAVALLEJA
9942,POLANCO NORTE,LAVALLEJA
9955,VILLA DEL ROSARIO,LAVALLEJA
9956,VILLA SERRANA,LAVALLEJA
9957,BARRIO LA CORONILLA - ANCAP,LAVALLEJA
9958,SAN FRANCISCO DE LAS SIERRAS,LAVALLEJA
9991,ILLESCAS,LAVALLEJA
10320,MALDONADO,MALDONADO
10321,SAN CARLOS,MALDONADO
10521,AIGUA,MALDONADO
10522,PAN DE AZUCAR,MALDONADO
10523,PIRIAPOLIS,MALDONADO
10524,PUNTA DEL ESTE,MALDONADO
10821,CERRO PELADO,MALDONADO
10822,GARZON,MALDONADO
10823,GERONA,MALDONADO
10825,LAS FLORES - ESTACION,MALDONADO
10826,LOS TALAS,MALDONADO
10827,NUEVA CARRARA,MALDONADO
10828,SOLIS,MALDONADO
10829,PUEBLO SOLIS,MALDONADO
10830,PINARES - LAS DELICIAS,MALDONADO
10831,CHIHUAHUA,MALDONADO
10832,VILLA DELIA,MALDONADO
10833,SAN RAFAEL - EL PLACER,MALDONADO
10924,BARRIO HIPODROMO,MALDONADO
10925,LOS AROMOS,MALDONADO
10926,BELLA VISTA,MALDONADO
10929,CANTERAS DE MARELLI,MALDONADO
10931,CERROS AZULES,MALDONADO
10934,EL CHORRO,MALDONADO
10935,EL EDEN,MALDONADO
10936,EL TESORO,MALDONADO
10939,FARO JOSE IGNACIO,MALDONADO
10940,GREGORIO AZNAREZ,MALDONADO
10942,LA BARRA,MALDONADO
10944,LA CAPUERA,MALDONADO
10945,LAS FLORES,MALDONADO
10947,MANANTIALES,MALDONADO
10948,OCEAN PARK,MALDONADO
10953,PLAYA GRANDE,MALDONADO
10954,PLAYA HERMOSA,MALDONADO
10955,PLAYA VERDE,MALDONADO
10956,PUNTA BALLENA,MALDONADO
10958,PUNTA COLORADA,MALDONADO
10959,PUNTA NEGRA,MALDONADO
10962,RUTA 37 Y 9,MALDONADO
10969,SAUCE DE PORTEZUELO,MALDONADO
10972,SAN VICENTE,MALDONADO
10973,BALNEARIO BUENOS AIRES,MALDONADO
10980,LAS CUMBRES,MALDONADO
10981,LOS CORCHOS,MALDONADO
10982,SANTA MONICA,MALDONADO
10983,EDEN ROCK,MALDONADO
10984,PARQUE MEDINA,MALDONADO
10985,ARENAS DE JOSE IGNACIO,MALDONADO
10986,LA SONRISA,MALDONADO
10987,EL QUIJOTE,MALDONADO
10988,LAGUNA BLANCA,MALDONADO
11120,PAYSANDU,PAYSANDU
11521,GUICHON,PAYSANDU
11522,NUEVO PAYSANDU,PAYSANDU
11621,QUEBRACHO,PAYSANDU
11695,TAMBORES,PAYSANDU
11721,LORENZO GEYRES,PAYSANDU
11722,MERINOS,PAYSANDU
11723,PORVENIR,PAYSANDU
11821,ARBOLITO,PAYSANDU
11822,BEISSO,PAYSANDU
11823,CASABLANCA,PAYSANDU
11824,CERRO CHATO,PAYSANDU
11825,CONSTANCIA,PAYSANDU
11826,MORATO,PAYSANDU
11827,PIEDRAS COLORADAS,PAYSANDU
11828,PIÑERA,PAYSANDU
11830,SAN FELIX,PAYSANDU
11831,VILLA MARIA (TIATUCURA),PAYSANDU
11894,PIEDRA SOLA,PAYSANDU
11922,ARAUJO,PAYSANDU
11924,BELLA VISTA,PAYSANDU
11925,CAÑADA DEL PUEBLO,PAYSANDU
11926,CHAPICUY,PAYSANDU
11929,EL EUCALIPTUS,PAYSANDU
11931,ESPERANZA,PAYSANDU
11932,PUEBLO FEDERACION,PAYSANDU
11935,LA TENTACION,PAYSANDU
11937,ORGOROSO,PAYSANDU
11945,CUCHILLA DE BURICAYUPI,PAYSANDU
11947,SOTO,PAYSANDU
11950,ZEBALLOS,PAYSANDU
11951,CHACRAS DE PAYSANDU,PAYSANDU
11953,GALLINAL,PAYSANDU
11954,PUNTAS DE ARROYO NEGRO,PAYSANDU
11955,ESTACION PORVENIR,PAYSANDU
11956,CUCHILLA DE FUEGO,PAYSANDU
11957,PUEBLO ALONZO,PAYSANDU
11958,QUEGUAYAR,PAYSANDU
11959,TERMAS DE GUAVIYU,PAYSANDU
11960,TERMAS DE ALMIRON,PAYSANDU
12320,FRAY BENTOS,RIO NEGRO
12421,YOUNG,RIO NEGRO
12621,NUEVO BERLIN,RIO NEGRO
12622,SAN JAVIER,RIO NEGRO
12722,BARRIO ANGLO,RIO NEGRO
12723,GRECCO,RIO NEGRO
12792,MERINOS,RIO NEGRO
12797,ALGORTA,RIO NEGRO
12821,EL OMBU,RIO NEGRO
12823,PASO DE LOS MELLIZOS,RIO NEGRO
12824,SARANDI DE NAVARRO,RIO NEGRO
12826,VILLA GENERAL BORGES,RIO NEGRO
12827,VILLA MARIA,RIO NEGRO
12828,LAS CAÑAS,RIO NEGRO
12923,BELLACO,RIO NEGRO
12930,LOS ARRAYANES,RIO NEGRO
12932,MENAFRA,RIO NEGRO
12945,TRES QUINTAS,RIO NEGRO
13220,RIVERA,RIVERA
13521,MINAS DE CORRALES,RIVERA
13522,TRANQUERAS,RIVERA
13621,VICHADERO,RIVERA
13721,SANTA TERESA,RIVERA
13822,ARROYO BLANCO,RIVERA
13823,PASO ATAQUES,RIVERA
13824,CERRO PELADO,RIVERA
13830,PASO HOSPITAL,RIVERA
13831,LAPUENTE,RIVERA
13832,LAS FLORES,RIVERA
13833,MOIRONES,RIVERA
13836,LA PEDRERA,RIVERA
13837,MANDUBI,RIVERA
13838,LAGUNON,RIVERA
13922,AMARILLO,RIVERA
13929,CERRILLADA,RIVERA
13931,CERROS DE LA CALERA,RIVERA
13940,LAGOS DEL NORTE,RIVERA
13943,MASOLLER,RIVERA
14320,ROCHA,ROCHA
14421,CASTILLOS,ROCHA
14422,LASCANO,ROCHA
14521,CHUY,ROCHA
14621,CEBOLLATI,ROCHA
14622,VELAZQUEZ,ROCHA
14721,18 DE JULIO,ROCHA
14722,LA PALOMA,ROCHA
14723,SAN LUIS AL MEDIO,ROCHA
14821,LA AGUADA Y COSTA AZUL,ROCHA
14822,19 DE ABRIL,ROCHA
14823,LA CORONILLA,ROCHA
14826,BARRIO PEREIRA,ROCHA
14921,AGUAS DULCES,ROCHA
14923,BARRA DEL CHUY,ROCHA
14926,BARRIO TORRES,ROCHA
14928,CABO POLONIO,ROCHA
14929,CAPACHO,ROCHA
14940,BARRA DE VALIZAS,ROCHA
14941,LA ESMERALDA,ROCHA
14942,LA PEDRERA,ROCHA
14948,PARALLE,ROCHA
14957,PUIMAYEN,ROCHA
14959,ARACHANIA,ROCHA
14960,PTA. RUBIA Y STA. ISABEL DE LA PEDRERA,ROCHA
14962,PUNTA DEL DIABLO,ROCHA
14963,PALMARES DE LA CORONILLA,ROCHA
14964,LA RIBIERA,ROCHA
14965,PUENTE VALIZAS,ROCHA
14966,OCEANIA DEL POLONIO,ROCHA
14967,PUEBLO NUEVO,ROCHA
14968,TAJAMARES DE LA PEDRERA,ROCHA
14969,SAN ANTONIO,ROCHA
15522,BELEN,SALTO
15523,CONSTITUCION,SALTO
15721,FERNANDEZ,SALTO
15722,SAN ANTONIO,SALTO
15723,CHACRAS DE BELEN,SALTO
15821,ALBISU,SALTO
15822,BIASSINI,SALTO
15823,CAMPO DE TODOS,SALTO
15824,CAYETANO,SALTO
15825,CUCHILLA DE GUAVIYU,SALTO
15827,TERMAS DEL DAYMAN,SALTO
15828,PALOMAS,SALTO
15829,PASO DEL PARQUE DEL DAYMAN,SALTO
15830,QUINTANA,SALTO
15831,SARANDI DE ARAPEY,SALTO
15832,SAUCEDO,SALTO
15924,ARENITAS BLANCAS,SALTO
15931,CELESTE,SALTO
15935,CERROS DE VERA,SALTO
15939,GARIBALDI,SALTO
15943,TERMAS DEL ARAPEY,SALTO
15944,LAS FLORES,SALTO
15945,LAURELES,SALTO
15946,LLUVERAS,SALTO
15949,MIGLIARO,SALTO
15950,OLIVERA,SALTO
15957,PASO DE LAS PIEDRAS DE ARERUNGUA,SALTO
15959,PUNTAS DE VALENTIN,SALTO
15965,RINCON DE VALENTIN,SALTO
15966,COLONIA 18 DE JULIO,SALTO
15969,PARQUE JOSE LUIS,SALTO
15970,COLONIA ITAPEBI,SALTO
15971,GUAVIYU DE ARAPEY,SALTO
15972,RUSSO,SALTO
15973,PASO CEMENTERIO,SALTO
15974,OSIMANI Y LLERENA,SALTO
16220,SAN JOSE DE MAYO,SAN JOSE
16421,LIBERTAD,SAN JOSE
16521,DELTA DEL TIGRE Y VILLAS,SAN JOSE
16621,RODRIGUEZ,SAN JOSE
16721,ITUZAINGO,SAN JOSE
16722,SANTA MONICA,SAN JOSE
16821,PUNTAS DE VALDEZ,SAN JOSE
16822,GONZALEZ,SAN JOSE
16823,MAL ABRIGO,SAN JOSE
16824,PLAYA PASCUAL,SAN JOSE
16825,18 DE JULIO (PUEBLO NUEVO),SAN JOSE
16826,RAFAEL PERAZA,SAN JOSE
16827,RAIGON,SAN JOSE
16829,SAFICI (PARQUE POSTEL),SAN JOSE
16923,JUAN SOLER,SAN JOSE
16924,BOCA DEL CUFRE,SAN JOSE
16925,CAPURRO,SAN JOSE
16926,VILLA MARIA,SAN JOSE
16929,ECILDA PAULLIER,SAN JOSE
16932,KIYU-ORDEIG,SAN JOSE
16933,LA BOYADA,SAN JOSE
16939,CAÑADA GRANDE,SAN JOSE
16945,RINCON DEL PINO,SAN JOSE
16946,SAN GREGORIO,SAN JOSE
16947,SCAVINO,SAN JOSE
16950,MONTE GRANDE,SAN JOSE
16960,CERAMICAS DEL SUR,SAN JOSE
16961,RADIAL,SAN JOSE
16962,COLOLO TINOSA,SAN JOSE
16963,MANGRULLO,SAN JOSE
16964,CARRETA QUEMADA,SAN JOSE
16965,COSTAS DE PEREIRA,SAN JOSE
16966,COLONIA DELTA,SAN JOSE
17220,MERCEDES,SORIANO
